ISO,Year,PPP_a_t_na,PPP_n_t_na,PPP_t_na,rVA_a_t,rVA_n_t,rVA_t
BGD,1979,0.21030106041167154,0.15723975448533473,0.17630832359468726,25889158788.201702,55435905694.21484,80320914285.99007
BGD,1980,0.21907800160703164,0.18606797216041077,0.1987214149043419,25930181531.14369,57022054793.71227,81977629149.21986
BGD,1981,0.21193905002946492,0.18212802732526848,0.1939060507094203,27014082020.729046,58415315477.14994,84393472996.11055
BGD,1982,0.18979390150657624,0.1634967410959239,0.17366347076163266,27056489497.54072,60089003986.014786,86140815708.7711
BGD,1983,0.18397595451622661,0.15927631052619934,0.1688174624627146,28202703014.36321,63147780829.32776,90313907891.99257
BGD,1984,0.21739636634994997,0.17104399663858547,0.1870426728288607,29220136275.00445,67492229123.797424,95681331918.26558
BGD,1985,0.22417834760186467,0.16923082758307637,0.1873331614878161,29420403420.7298,70152128617.33932,98580091536.36845
BGD,1986,0.2214811136338065,0.1709068518428797,0.1874340466212126,30386082250.408504,73884881290.62318,103275664933.34975
BGD,1987,0.25283138469464417,0.18076607316865437,0.20261012892328578,30507419561.677006,78562838417.62302,108162060038.34119
BGD,1988,0.26190431678032455,0.18956477673455335,0.2103636764341383,30273918801.479603,83063311914.3787,112541996789.34831
BGD,1989,0.275797457822504,0.20060327661247568,0.2211532557272261,29951275794.01002,87025874909.71829,116291127141.29233
BGD,1990,0.25921185414111514,0.20178517250282957,0.21834527426052316,32948705493.576694,92222724574.04706,124343764807.11076
BGD,1991,0.2665088155771308,0.20717690193464178,0.22379201577742946,33479577866.922226,96594541244.1431,129293086447.15968
BGD,1992,0.2546786547829092,0.205298434848643,0.21887489954126227,34213659945.576355,101995744198.3846,135479470681.37897
BGD,1993,0.22834233673460236,0.2105005401854604,0.21597368678666612,35079270421.59138,106901018333.22034,141280195465.0602
BGD,1994,0.23537180749720557,0.21518047807957533,0.2209345149933796,35375939626.48049,112290484526.99574,147053614493.30988
BGD,1995,0.2719795189808571,0.22538266395701592,0.23677499895688472,35268947084.32858,118749601353.80885,153548866730.36115
BGD,1996,0.2696982407627985,0.22868459802055288,0.23864404913299075,36363447078.475555,124138669542.45248,160053265887.10526
BGD,1997,0.2641499224918367,0.2256337238806258,0.23516017520442115,38543486663.18609,129898177760.22935,167930937088.58295
BGD,1998,0.2626936859400847,0.22306894229711546,0.23257911792269934,39775054217.582054,137225304776.5163,176539319438.93063
BGD,1999,0.2712733966003126,0.2214652458412622,0.23324951256258725,41662150705.82786,143914700544.12253,185097654410.89618
BGD,2000,0.2502110210761934,0.21533540191465503,0.2239278740426271,44737254766.61785,151759269812.90933,195924235615.20074
BGD,2001,0.22927143874100323,0.20750450559968966,0.21288367464487123,46141287911.44132,160587077438.93024,206222584459.4184
BGD,2002,0.22424688277781926,0.20758702436174126,0.21146842791678364,46143949417.44941,169450302530.97528,215272423141.27655
BGD,2003,0.22798500835857433,0.21771761296663017,0.22010307257299255,47563774164.705055,179155483463.67075,226480853162.86163
BGD,2004,0.22808297924094673,0.22308125738781745,0.22427883231778215,49508891484.31238,190010308419.79184,239344361805.54703
BGD,2005,0.22003930515363074,0.21767246165020507,0.21814508822779025,50601173556.76965,202801966635.81046,253403140192.5801
BGD,2006,0.2376406036526056,0.2472640992989041,0.2452881036579343,53099884129.45436,217444131488.3558,270640177198.66446
BGD,2007,0.250897021078656,0.26586125769355506,0.26282044551807177,57442898187.83358,236480675304.2918,294053613834.08105
BGD,2008,0.2723992029301751,0.2893334042836134,0.2858626231837409,60860547019.474884,254935959641.19986,316025413078.33325
BGD,2009,0.2851907660369485,0.30941749610336794,0.3045010289106837,63847298257.32175,273729087137.74615,337947063825.52594
BGD,2010,0.2994124187320161,0.3268841044331749,0.32133368262920686,68719334908.89793,295177388166.07965,364307337781.9649
BGD,2011,0.3056869890888111,0.328193781860616,0.32352958713188507,72781745434.82137,321778377679.9008,395185171309.2939
BGD,2012,0.2980487700108178,0.32066505885917507,0.31592022460099756,76020115054.34819,352512889997.1011,429527006632.6079
BGD,2013,0.3317519295568424,0.3630168553442214,0.3566031074119017,78979157982.38448,384248714685.46063,464634897135.7159
BGD,2014,0.35507433104634817,0.3857038620827824,0.37929640182083063,83580466949.05347,417647466822.925,502945765942.9154
BGD,2015,0.37183556641018894,0.4140442845718025,0.405615775470923,87565504885.67856,457043238510.2174,546813322428.0938
BGD,2016,0.39031900388377216,0.43171399551818074,0.42332465857505586,91259228671.42911,504172278815.2573,598307788163.4152
BGD,2017,0.39756563773913584,0.4421889117992044,0.4332546256016918,94175894324.08907,539978126613.6439,637531426942.4653
BGD,2018,0.404687380545802,0.44949481673818165,0.4404892843860813,97513986580.13196,582985521301.4054,684492587088.2498
BGD,2019,0.4156235757389536,0.4613663869727074,0.4521502204163141,100693501215.46475,634020909546.9939,739503187732.225
BGD,2020,0.4304490216519574,0.47941421468207207,0.46964244038713476,104138177692.65147,657826643577.9531,766961393300.3368
BGD,2021,0.44921482737081214,0.49622674990167187,0.48659327613450276,107444128399.30098,707507897226.0801,820705627364.189
BGD,2022,0.4385771709678014,0.4824879304388903,0.4733301904994435,110725423382.7822,762276145035.7172,879619958624.0859
BGD,2023,0.40611229029904494,0.44538684210163737,0.43707086540064377,114458466077.31366,812887631815.9386,934705278848.2456
BEL,1970,0.1779006688632612,0.14385286129087346,0.14602017578514928,5524914706.317579,153624336999.96954,158075323077.18887
BEL,1971,0.1845596379230142,0.15369035234687528,0.15587053045324192,5816543210.886702,159924784689.49658,164575019680.1115
BEL,1972,0.2662329757872331,0.18160667189787041,0.1854449053582411,5785179535.711234,168661292984.0612,173475898935.78693
BEL,1973,0.31627170060604703,0.21922373552223245,0.22342550293644586,6008559453.738647,180638210141.89642,185746568661.80573
BEL,1974,0.2720456533235224,0.2513415358895199,0.25327998211236463,6271048120.265055,187115346858.8899,192418957252.18945
BEL,1975,0.37955610528415684,0.2919000446322072,0.2946509554049896,5220403321.229481,185188572188.09207,190184309304.7992
BEL,1976,0.4351190539560691,0.30473235553346595,0.30775334987892405,5011057654.327756,196188737870.52316,201347809571.1095
BEL,1977,0.4073665525055315,0.35214121124803394,0.35343948757595256,5200258116.5061455,198981792312.96146,204244582509.86484
BEL,1978,0.45641391849675894,0.41999419841705554,0.4215629367994779,5825417220.726426,205086219743.63486,210630053586.60892
BEL,1979,0.46915428597419295,0.4692655038116361,0.46946817219339454,5801325206.168906,213578142234.07144,219283387460.4408
BEL,1980,0.47814253345225904,0.4909829592440064,0.4908625739154337,6011328670.129139,221209934843.66916,227119740366.83218
BEL,1981,0.40108886432017893,0.4072028068776482,0.4074921693306938,6282328455.254142,223514364150.66977,229539253720.2906
BEL,1982,0.34320275903742437,0.3582505761465673,0.35855520514170774,6669531689.87751,226901271228.62198,233092454453.32425
BEL,1983,0.3524442556609643,0.3346389322646114,0.3357234655156244,6532514779.30134,225546536919.1765,231675791503.40714
BEL,1984,0.2927413586312918,0.31701450697303474,0.3172399084642182,7138653799.084884,232500732748.7686,238922917176.7707
BEL,1985,0.28855132066342054,0.32897600618563544,0.32866463351226266,7119478713.692723,235351322470.25668,241824842097.22058
